,Going travelling,Getting a job,Moving back home,Staying on in education,Moving out of a student house,Finding a new place to live,Internships,Don't know
Pay off your final bills as a student,x,x,x,x,x,x,x,x
Save up for a deposit for your first home whether rented or bought,,,x,,,,,
Contact your local authority with your new address so you're put on their electoral register,,,x,,x,x,,
Make sure your phone provider and bank know you've moved address,x,,x,x,x,x,,
Remember that any agreement in your name is your responsibility,x,x,x,x,x,x,x,x
"If you really need to borrow money, think carefully about your options before doing this",x,,,x,,x,x,
"Plan how you'll set aside money to pay for Council Tax or rates, and which payment method you'll use",,,,,,x,,
Get your deposit back from your landlord,x,x,x,x,x,x,x,x
Make sure you understand the terms of your new graduate bank account,x,x,x,,x,x,x,x
Make sure sure you take out travel insurance and check the terms carefully to ensure that it covers all the things you want to do while away,x,,,,,,,
"If you're out of work, on a low income or staying on in education check what benefits you're entitled to",,,x,,x,x,,x
"If you drive, think about whether you really need to run a car while you sort out your money",x,x,x,x,x,x,x,x
Tell the Student Loans Company if you're going overseas for a long period of time,x,,,,,,,
Plan costs such as visas and vaccinations,x,,,,,,,
"Even if you don't know what you want to do, take control of your money",,,,,,,,x
Stay opted in or sign up to a pension even though retirement seems a long way off,,x,,,,,,
Don't just rely on the State Pension to cover your retirement,,x,,,,,,
Check your employer is deducting income tax from your pay through PAYE (the Pay as You Earn scheme) ,,x,,x,,,x,
"If setting up on your own, be sure to set aside enough money to pay your tax",,x,,,,,,
How long you have to pay back your loan is based your income. But remember: the amount you owe will be a combination of your tuition fees and maintenance loan.,,x,x,,,,x,x
Be prepared for the culture shock of the working world. At first a lot of students feel worse off financially than they did at university,,x,x,,,x,x,x
"If  you find that debt is playing on your mind, get advice straight away",x,x,x,x,x,x,x,x
Understand your rights when working as an intern,,,,,,,x,
Make sure you're being paid at least the minimum wage,,x,,,,,x,
"Your intern role might not be what you want to do in the long run, but the experience could help you get that dream job. So stick with it",,,,,,,x,
Take advantage of any careers advice available to you,,x,,x,,,x,
Make sure you shop around for the cheapest energy supplier,,,,x,,x,,
